CS_COMPANY_ID|*|BUSINESS_NAME|*|COMPANY_REGISTRATION_NUMBER|*|FINANCIAL_YEAR|*|NUMBER_OF_WEEKS|*|CURRENCY|*|CONSOLIDATED_ACCOUNTS|*|REVENUE|*|OPERATING_COSTS|*|OPERATING_PROFIT|*|WAGES_AND_SALARIES|*|PENSION_COSTS|*|DEPRECIATION|*|AMORTISATION|*|FINANCIAL_INCOME|*|FINANCIAL_EXPENSES|*|EXTRAORDINARY_INCOME|*|EXTRAORDINARY_COSTS|*|PROFIT_BEFORE_TAX|*|TAX|*|PROFIT_AFTER_TAX|*|DIVIDENDS|*|MINORITY_INTERESTS|*|OTHER_APPROPRIATIONS|*|RETAINED_PROFIT
NL03484612|*|LORA Beheer B.V.|*|58510095|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL05005150|*|Prodesi B.V.|*|73630268|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL05320969|*|Ventura Systems International B.V.|*|76865541|*|31-12-2021|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL05582967|*|Jakhlo Holding B.V.|*|80779425|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL05879393|*|Leroy Hartjes Holding B.V.|*|83847928|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL06063605|*|ZVV Holding B.V.|*|85751596|*|31-12-2022|*|43|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00018831|*|Tuinadviesbureau & Hoveniersbedrijf Michel van Kammen B.V.|*|01075610|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00272970|*|Ing.Gerritse Holding B.V.|*|08030545|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00485626|*|L. van Bekkum Holding B.V.|*|09148096|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00485626|*|L. van Bekkum Holding B.V.|*|09148096|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00488866|*|Fassin Sales B.V.|*|09151792|*|31-12-2022|*|52|*|EUR|*|N|*||*||*|200491|*||*||*||*||*||*||*|0|*|0|*|196627|*|50730|*|145897|*||*||*||*|145897
NL00489274|*|Artie-Kunst Holding B.V.|*|09152237|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00489462|*|Leloux, Science & Business B.V.|*|09152441|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
